fullNameForSearch,position,archetype,yearsPro,overall,speed,acceleration,agility,changeOfDirection,strength,jumping,awareness,breakTackle,carrying,jukeMove,spinMove,stiffArm,trucking,bCVision,kickReturn,throwPower,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,throwOnTheRun,throwUnderPressure,playAction,breakSack,catching,catchInTraffic,spectacularCatch,shortRouteRunning,mediumRouteRunning,deepRouteRunning,release,passBlock,passBlockPower,passBlockFinesse,runBlock,runBlockPower,runBlockFinesse,leadBlock,impactBlocking,tackle,hitPower,pursuit,playRecognition,powerMoves,finesseMoves,blockShedding,manCoverage,zoneCoverage,press,kickPower,kickAccuracy,stamina,injury,toughness,jerseyNum,plyrHandedness,team,teamId,college,plyrPortrait,totalSalary,signingBonus,primaryKey,plyrAssetname
Daniel Faalele,RT,OT_Power,1,67,52,46,39,38,90,73,55,37,44,23,21,55,45,38,10,29,15,12,9,6,15,6,17,34,33,30,24,16,10,15,69,74,64,75,80,70,74,86,44,48,32,16,15,13,35,7,7,10,21,15,78,87,74,77,Right,Ravens,25,Minnesota,1574,"$3,650,000 ","$800,000 ",22104,FaaleleDaniel_22104
Kevon Seymour,CB,CB_MantoMan,6,67,90,89,86,86,62,84,67,50,58,72,67,31,25,63,45,25,6,6,6,6,11,6,10,60,29,63,20,10,10,12,10,35,35,18,35,35,15,45,47,53,62,68,26,31,41,66,61,76,10,11,88,82,68,25,Right,Ravens,25,USC,8421,"$940,000 ",$0 ,17858,SeymourKevon_17858
Ben Cleveland,RG,G_Power,2,66,71,73,65,49,90,70,69,12,14,11,10,26,32,10,10,23,5,5,5,5,10,5,12,12,13,15,12,5,5,13,65,68,62,71,74,67,75,74,31,30,17,17,21,12,35,11,11,10,13,12,83,85,85,66,Right,Ravens,25,Georgia,733,"$3,960,000 ","$860,000 ",21641,ClevelandBen_21641
Charlie Kolar,TE,TE_VerticalThreat,1,66,83,84,81,74,68,85,65,55,72,64,66,60,63,74,15,29,15,10,6,10,10,6,16,80,76,82,66,62,58,65,56,53,55,56,52,55,55,58,33,32,38,22,17,15,36,12,15,10,15,14,84,92,78,88,Right,Ravens,25,Iowa State,1802,"$3,650,000 ","$720,000 ",22096,KolarCharlie_22096
Damarion Williams,CB,CB_Zone,1,66,88,93,83,90,57,83,62,57,58,78,68,30,31,71,60,32,15,12,10,14,11,6,19,64,55,59,42,36,31,29,30,30,30,32,32,32,14,43,57,56,76,66,27,35,42,65,67,66,14,17,91,90,85,22,Right,Ravens,25,Houston,2031,"$3,650,000 ","$520,000 ",22289,WilliamsDamarion_22289
Jalyn Armour-Davis,CB,CB_MantoMan,1,66,93,94,81,82,60,87,56,38,48,67,60,30,28,55,45,31,15,10,6,10,10,6,12,70,47,60,21,15,12,22,28,22,22,34,34,35,20,44,57,48,72,60,26,34,43,67,66,68,21,15,88,84,74,5,Right,Ravens,25,Alabama,1142,"$3,660,000 ","$760,000 ",22254,ArmourDavisJalyn_22254
John Simpson,LG,G_Power,3,66,64,69,52,51,92,74,65,12,42,10,20,35,25,22,10,14,6,6,6,6,15,6,12,32,15,15,20,10,6,15,67,70,65,68,70,66,81,85,31,38,27,17,27,10,27,12,12,10,35,22,89,89,90,76,Right,Ravens,25,Clemson,571,"$1,010,000 ",$0 ,21103,SimpsonJohn_21103
Malaesala Aumavae-Laulu,RT,OT_Power,0,65,69,77,63,56,80,71,62,21,32,15,17,27,33,22,10,11,5,5,5,5,7,5,7,29,19,25,15,13,11,15,72,73,71,73,73,73,80,77,30,26,25,32,22,19,30,8,9,8,29,22,87,93,84,71,Right,Ravens,25,Oregon,961,"$3,830,000 ","$160,000 ",22885,AumavaeLauluMalaesala_22885
Tavius Robinson,ROLB,OLB_PowerRusher,0,65,84,91,71,62,79,81,64,31,36,50,45,43,32,43,10,20,6,6,6,6,16,6,16,35,31,35,20,15,10,12,45,45,45,45,45,45,32,77,78,82,78,63,69,54,65,31,38,32,13,14,74,86,77,95,Right,Ravens,25,Ole Miss,2374,"$3,830,000 ","$720,000 ",23142,RobinsonTavius_23142
Jeremiah Moon,ROLB,OLB_SpeedRusher,1,64,80,90,81,67,68,94,51,43,39,52,46,45,33,42,10,20,6,6,6,6,18,6,12,42,35,33,15,8,4,16,45,45,45,45,45,45,18,66,79,78,78,49,62,70,64,42,50,45,16,12,78,85,80,48,Right,Ravens,25,Florida,1856,"$750,000 ",$0 ,22163,MoonJeremiah_22163
Keaton Mitchell,HB,HB_ElusiveBack,0,64,93,95,81,82,55,90,48,75,82,83,79,56,48,75,65,27,25,24,20,25,11,15,26,71,64,61,62,53,54,42,39,37,41,40,40,40,29,35,27,26,33,20,15,22,23,25,32,22,10,10,84,88,79,34,Right,Ravens,25,East Carolina,0,"$2,630,000 ","$80,000 ",23134,MitchellKeaton_23134
Ar'Darius Washington,SS,S_RunSupport,2,63,85,88,82,85,57,89,57,50,59,73,68,33,30,67,40,27,24,20,15,21,10,15,15,69,63,71,30,25,15,12,35,35,35,35,35,35,10,52,65,74,77,63,25,30,44,65,68,59,10,11,85,85,83,29,Right,Ravens,25,TCU,1082,"$940,000 ",$0 ,21493,WashingtonArDarius_21493
Jaquan Amos,SS,S_RunSupport,0,63,88,90,88,80,55,84,60,35,54,71,64,48,40,59,45,28,6,6,6,6,17,6,15,63,51,55,35,30,22,26,30,30,30,35,35,35,35,62,70,81,73,56,43,38,59,60,64,64,18,21,84,90,88,37,Right,Ravens,25,Ball State,0,"$2,700,000 ",$0 ,23323,AmosJaquan_23323
Kristian Welch,MLB,MLB_RunStopper,3,63,81,84,79,71,75,81,63,48,64,68,58,51,43,71,10,20,25,21,17,15,21,20,18,57,48,50,33,25,15,13,48,45,45,45,45,45,16,78,79,80,79,60,56,50,65,53,61,44,16,20,81,90,86,57,Right,Ravens,25,Iowa,1086,"$1,010,000 ",$0 ,21434,WelchKristian_21434
Brandon Kipper,LT,OT_Power,0,61,55,58,52,49,81,63,70,5,34,10,10,10,15,10,10,25,6,6,6,6,14,6,12,21,15,12,10,5,5,12,63,66,60,71,71,71,73,76,34,35,25,10,10,10,39,10,9,9,11,15,79,90,84,68,Right,Ravens,25,Oregon State,0,"$2,670,000 ","$10,000 ",22881,KipperBrandon_22881
Stefon Diggs,WR,WR_DeepThreat,8,96,92,94,92,94,62,91,96,84,74,97,89,64,42,94,85,46,27,23,18,27,20,18,27,98,91,96,96,96,97,93,39,20,22,53,36,33,29,49,27,12,35,20,10,10,34,33,38,27,30,30,95,94,92,14,Right,Bills,3,Maryland,7085,"$60,730,000 ","$72,080,000 ",2454,DiggsStefon_2454
Josh Allen,QB,QB_Improviser,5,94,88,92,85,82,80,92,87,83,60,81,77,83,75,95,13,99,92,89,89,96,92,94,96,40,20,23,22,15,13,18,14,15,10,17,10,10,17,26,32,11,33,15,9,9,23,12,18,9,22,14,94,96,93,17,Right,Bills,3,Wyoming,8800,"$182,050,000 ","$79,270,000 ",13197,AllenJosh_13197
Von Miller,RE,DE_SmallerSpeedRusher,12,94,85,86,86,74,84,83,97,20,65,53,46,35,41,40,10,19,6,6,6,6,13,6,12,51,20,41,15,5,5,33,45,45,45,45,45,45,29,89,92,89,96,96,90,94,91,49,60,62,21,15,85,90,88,40,Right,Bills,3,Texas AM,4432,"$69,000,000 ","$50,870,000 ",10737,MillerVon_10737
Jordan Poyer,SS,S_Zone,10,90,88,91,86,84,66,79,92,30,65,66,65,15,25,60,65,30,6,6,6,6,19,6,15,75,45,68,35,25,20,15,35,35,35,35,35,35,12,57,72,68,86,91,46,54,62,80,94,80,25,25,91,92,84,21,Right,Bills,3,Oregon State,6322,"$6,000,000 ","$6,380,000 ",12280,PoyerJordan_12280
Tre'Davious White,CB,CB_MantoMan,6,90,91,93,90,87,75,82,92,74,65,82,74,43,28,82,80,36,28,22,18,31,30,16,40,73,58,70,35,25,18,32,25,35,35,25,35,35,18,55,64,66,77,91,28,36,53,91,93,93,22,18,93,87,81,27,Right,Bills,3,LSU,8775,"$34,610,000 ","$48,110,000 ",12548,WhiteTreDavious_12548
Micah Hyde,FS,S_Zone,10,89,88,89,87,83,58,83,95,59,74,84,74,45,33,83,83,30,6,6,6,6,25,6,14,77,48,70,33,23,18,25,35,35,35,35,35,35,12,57,71,71,84,96,36,49,56,84,91,83,56,48,93,89,83,23,Right,Bills,3,Iowa,6261,"$6,320,000 ","$16,760,000 ",11903,HydeMicah_11903
Matt Milano,ROLB,OLB_RunStopper,6,88,86,86,74,71,78,84,93,29,52,51,38,54,39,61,10,25,6,6,6,6,13,6,12,64,44,54,22,12,6,14,45,45,45,45,45,45,23,82,87,82,97,95,48,60,80,68,77,50,20,20,94,92,86,58,Right,Bills,3,Boston College,8664,"$6,580,000 ","$45,510,000 ",12781,MilanoMatt_12781
Greg Rousseau,LE,DE_PowerRusher,2,84,83,90,81,68,81,83,87,29,48,42,35,44,32,49,9,22,6,6,6,6,17,6,12,51,40,44,30,26,21,31,44,46,44,44,44,45,29,80,84,82,89,84,87,79,82,35,44,31,20,19,79,90,83,50,Right,Bills,3,Miami,928,"$5,810,000 ","$5,800,000 ",21517,RousseauGreg_21517
Dawson Knox,TE,TE_VerticalThreat,4,83,87,91,85,76,72,91,85,53,71,62,56,75,72,73,25,41,28,23,17,25,20,21,21,87,82,85,75,72,67,75,63,59,62,67,61,66,53,65,31,21,31,14,10,10,28,13,16,13,14,12,90,89,85,88,Right,Bills,3,Ole Miss,9546,"$37,540,000 ","$17,210,000 ",20523,KnoxDawson_20523
Gabe Davis,WR,WR_DeepThreat,3,83,91,93,86,85,67,88,84,75,76,81,75,69,58,83,45,31,15,10,6,10,19,6,24,88,84,88,82,84,88,83,42,31,25,55,37,33,37,49,33,27,36,18,10,10,33,14,21,18,19,15,88,91,88,13,Left,Bills,3,UCF,238,"$5,030,000 ","$680,000 ",20935,DavisGabriel_20935
Taron Johnson,CB,CB_Zone,5,83,91,93,84,85,63,81,87,50,58,73,65,31,22,63,38,25,6,6,6,6,11,6,10,71,62,62,38,31,24,28,10,40,35,40,35,35,15,45,54,48,78,88,29,36,62,81,85,85,10,11,95,90,78,7,Right,Bills,3,Weber State,8949,"$17,680,000 ","$8,660,000 ",13348,JohnsonTaron_13348
Dion Dawkins,LT,OT_PassProtector,6,81,67,68,69,51,87,66,87,8,28,22,11,27,33,17,10,23,6,6,6,6,14,6,12,41,10,12,25,14,10,19,85,85,85,72,73,71,76,87,31,40,24,13,10,10,27,12,15,10,24,22,91,95,86,73,Right,Bills,3,Temple,8529,"$23,160,000 ","$33,630,000 ",12622,DawkinsDion_12622
Ed Oliver,DT,DT_RunStopper,4,81,83,86,84,71,89,86,80,20,32,39,29,30,31,31,10,25,6,6,6,6,14,6,12,31,24,20,15,8,4,20,45,45,45,45,45,45,30,88,87,81,85,79,80,72,78,19,32,16,15,12,84,92,89,91,Right,Bills,3,Houston,9589,"$56,680,000 ","$22,080,000 ",20548,OliverEd_20548
Damien Harris,HB,HB_PowerBack,4,79,90,91,85,83,76,88,81,83,92,83,75,82,88,88,76,36,27,22,17,28,16,15,27,68,53,49,61,56,44,57,63,42,38,42,34,28,50,48,38,24,38,18,10,10,27,13,18,12,16,12,86,87,88,22,Right,Bills,3,Alabama,9491,"$370,000 ","$1,400,000 ",20337,HarrisDamien_20337
Mitch Morse,C,C_PassProtector,8,79,66,61,64,57,92,76,88,5,40,10,10,30,20,10,10,30,6,6,6,6,14,6,12,40,15,15,15,5,5,15,82,84,80,70,72,67,74,82,30,20,20,15,10,10,20,12,15,10,25,25,90,88,85,60,Right,Bills,3,Missouri,7245,"$16,000,000 ","$14,750,000 ",2522,MorseMitch_2522
Tyler Bass,K,KP_Power,3,79,76,83,63,56,40,65,68,5,33,10,10,10,10,10,10,27,35,30,25,20,14,20,15,35,10,12,10,10,10,12,17,17,17,12,12,12,12,12,29,12,31,10,10,10,13,12,12,10,96,80,87,87,60,2,Right,Bills,3,Ga. Southern,85,"$9,840,000 ","$11,610,000 ",21170,BassTyler_21170
Leonard Floyd,LE,DE_SmallerSpeedRusher,7,78,85,87,83,70,75,92,83,21,41,41,33,28,27,41,12,22,6,6,6,6,14,6,12,55,27,26,15,5,5,18,45,43,44,45,44,44,16,77,82,77,82,81,69,77,75,52,57,42,21,19,86,94,85,56,Right,Bills,3,Georgia,8005,"$500,000 ","$2,120,000 ",17554,FloydLeonard_17554
Taylor Rapp,SS,S_RunSupport,4,77,84,88,88,88,63,84,77,46,61,67,61,44,33,58,57,36,25,18,12,30,14,6,22,75,60,66,29,22,17,22,35,35,35,35,35,35,10,49,80,80,80,76,41,49,59,67,77,69,18,14,91,91,84,20,Right,Bills,3,Washington,9606,"$500,000 ","$1,270,000 ",20622,RappTaylor_20622
Dalton Kincaid,TE,TE_VerticalThreat,0,76,86,90,87,79,71,90,68,67,77,73,61,63,67,75,39,25,15,10,6,10,10,6,17,86,81,85,72,69,65,64,58,54,58,60,57,60,56,62,37,41,33,17,10,10,35,16,20,23,21,19,84,87,83,86,Right,Bills,3,Utah,2277,"$6,660,000 ","$6,760,000 ",22823,KincaidDalton_22823
DaQuan Jones,DT,DT_RunStopper,9,76,62,67,63,51,88,69,81,10,39,10,10,20,15,10,10,16,6,6,6,6,14,6,12,24,15,15,15,8,4,15,45,45,45,45,45,45,17,87,83,78,81,84,78,62,79,24,36,19,7,17,81,93,84,92,Right,Bills,3,Penn State,6474,"$2,040,000 ","$10,120,000 ",12336,JonesDaQuan_12336
Kaiir Elam,CB,CB_Zone,1,76,93,90,85,86,60,89,76,51,56,73,64,48,49,63,55,27,24,20,17,21,14,6,23,73,57,64,35,31,28,37,35,35,35,35,35,35,19,48,54,52,64,75,31,39,45,73,78,81,17,17,88,89,71,24,Right,Bills,3,Florida,1561,"$6,570,000 ","$7,120,000 ",22257,ElamKaiir_22257
Latavius Murray,HB,HB_PowerBack,10,76,87,90,85,77,74,85,76,82,94,83,81,85,84,84,77,39,35,32,27,32,17,33,19,69,55,47,54,47,39,54,58,43,38,56,46,41,53,50,39,45,35,35,28,30,35,18,25,15,20,22,84,89,87,28,Right,Bills,3,UCF,6853,"$390,000 ","$700,000 ",11943,MurrayLatavius_11943
Poona Ford,DT,DT_RunStopper,5,76,67,70,63,54,86,73,85,10,31,10,10,35,20,15,10,26,6,6,6,6,18,6,12,37,15,15,15,7,3,15,45,45,45,45,45,45,37,82,86,79,83,87,62,74,75,25,30,15,17,12,82,92,90,98,Right,Bills,3,Texas,9333,"$750,000 ","$1,500,000 ",13199,FordPoona_13199
Reggie Gilliam,FB,FB_Utility,3,76,86,89,82,77,76,85,77,61,70,60,54,69,72,66,38,34,26,21,16,25,21,10,20,74,59,57,64,60,55,59,67,52,46,66,60,61,81,71,49,46,55,42,31,22,39,31,36,14,17,12,87,88,86,41,Right,Bills,3,Toledo,1432,"$4,500,000 ","$1,000,000 ",21398,GilliamReggie_21398
Sam Martin,P,KP_Power,10,76,71,73,56,52,46,65,62,10,48,10,10,10,10,15,10,41,15,15,15,18,13,15,17,45,10,12,10,10,10,12,20,15,15,25,15,15,15,15,24,12,35,15,10,10,10,10,25,10,94,81,85,92,65,8,Right,Bills,3,Appalach. St.,6649,"$4,510,000 ","$1,500,000 ",11938,MartinSam_11938
Boogie Basham Jr,LE,DE_SmallerSpeedRusher,2,75,86,87,76,66,81,82,78,22,45,29,26,38,41,34,10,14,6,6,6,6,16,6,12,42,30,35,21,16,14,27,45,45,45,45,45,45,30,78,78,81,79,75,71,77,73,28,41,24,17,11,77,89,90,55,Right,Bills,3,Wake Forest,1608,"$4,180,000 ","$1,440,000 ",21503,BashamJrCarlos_21503
James Cook,HB,HB_ElusiveBack,1,75,92,93,93,92,67,81,62,76,87,85,76,71,64,79,74,27,20,14,10,10,17,10,20,70,52,54,65,60,53,62,49,21,26,42,24,29,43,38,40,37,47,31,10,10,35,24,34,17,19,14,84,88,84,4,Right,Bills,3,Georgia,1304,"$4,430,000 ","$1,440,000 ",22054,CookJames_22054
Nyheim Hines,HB,HB_ReceivingBack,5,75,92,93,89,83,62,85,69,74,85,84,81,74,46,79,93,25,20,15,10,16,16,15,20,77,70,61,73,67,61,61,53,28,31,26,20,17,26,27,27,15,33,16,5,10,20,11,18,10,19,13,85,86,81,0,Right,Bills,3,N.C. State,8925,"$8,550,000 ","$2,500,000 ",13268,HinesNyheim_13268
Connor McGovern,LG,G_PassProtector,4,74,66,61,62,56,88,67,84,5,40,10,10,10,20,10,10,30,10,10,10,10,13,10,12,35,15,15,15,5,5,12,78,77,79,69,67,71,77,84,40,20,15,15,10,10,20,12,15,10,25,25,85,89,84,66,Right,Bills,3,Penn State,9565,"$6,850,000 ","$12,300,000 ",20665,McGovernConnor_20665
Deonte Harty,WR,WR_Playmaker,4,74,90,93,90,89,50,80,67,76,72,87,79,45,26,84,87,25,35,30,20,15,19,15,27,84,79,80,72,73,74,69,25,13,11,39,25,27,23,37,17,12,29,25,10,10,26,11,25,10,19,15,83,81,76,11,Right,Bills,3,Assumption,327,"$4,390,000 ","$5,090,000 ",20845,HartyDeonte_20845
Jordan Phillips,DT,DT_PowerRusher,8,74,68,68,61,53,88,74,84,21,47,26,17,24,42,38,10,14,6,6,6,6,11,6,12,38,23,27,16,8,4,15,45,45,45,45,45,45,36,86,80,87,82,83,76,64,73,37,45,10,17,11,73,80,73,97,Right,Bills,3,Oklahoma,7279,"$1,640,000 ","$1,220,000 ",2548,PhillipsJordan_2548
Ryan Bates,RG,G_Agile,4,74,69,80,68,56,86,68,82,11,26,15,10,20,30,12,11,17,6,6,6,6,14,6,12,20,16,14,10,8,5,12,77,76,78,72,66,76,79,83,31,27,27,10,10,10,26,12,12,10,15,12,82,91,87,71,Right,Bills,3,Penn State,9383,"$13,500,000 ","$3,520,000 ",20538,BatesRyan_20538
A.J. Epenesa,RE,DE_PowerRusher,3,73,77,75,76,66,84,79,83,27,51,36,23,37,36,41,16,24,6,6,6,6,14,6,12,49,31,37,26,22,15,27,45,45,45,45,45,45,16,84,74,81,81,82,78,70,70,20,28,19,22,15,78,90,90,57,Right,Bills,3,Iowa,275,"$3,660,000 ","$2,220,000 ",20984,EpenesaAJ_20984
Dane Jackson,CB,CB_Zone,3,73,87,90,87,89,54,84,76,56,65,73,67,39,35,70,50,50,36,32,35,34,33,27,40,65,49,65,34,30,24,35,35,35,35,35,35,35,14,51,58,54,74,74,37,40,52,73,76,73,44,34,90,90,85,30,Right,Bills,3,Pittsburgh,383,"$400,000 ","$1,610,000 ",21163,JacksonDane_21163
Shaq Lawson,RE,DE_PowerRusher,7,73,80,83,76,66,85,80,69,19,26,26,27,40,32,35,9,22,6,6,6,6,10,6,12,50,17,22,14,7,3,17,45,45,45,45,44,45,18,78,85,82,82,67,74,62,73,42,48,22,20,19,78,84,84,90,Right,Bills,3,Clemson,8107,"$1,050,000 ",$0 ,17551,LawsonShaq_17551
Trent Sherfield,WR,WR_Slot,5,73,90,92,88,83,54,79,72,69,73,80,70,47,42,72,60,49,40,35,29,36,24,31,31,85,81,79,76,73,71,70,40,25,27,57,25,15,22,42,50,53,58,18,10,10,35,30,44,27,19,11,82,90,68,16,Left,Bills,3,Vanderbilt,9916,"$1,020,000 ","$750,000 ",13759,SherfieldTrent_13759
David Edwards,RG,G_Agile,4,72,63,71,63,54,82,65,83,36,45,34,27,44,43,49,10,40,40,34,27,31,27,25,30,46,30,34,26,17,14,33,73,71,75,77,75,78,83,81,39,35,35,30,31,27,37,12,12,10,21,11,90,92,90,76,Right,Bills,3,Wisconsin,9447,"$500,000 ","$1,270,000 ",20532,EdwardsDavid_20532
Cameron Dantzler Sr,CB,CB_Zone,3,71,87,90,86,84,55,86,71,53,56,75,63,40,33,68,35,47,38,32,37,40,38,29,44,65,58,66,23,16,10,15,26,35,35,34,35,35,13,48,65,51,76,71,29,37,51,72,75,78,11,15,90,87,84,26,Right,Bills,3,Mississippi St.,230,"$1,010,000 ",$0 ,21005,DantzlerCameron_21005
O'Cyrus Torrence,RG,G_Power,0,71,61,68,50,51,91,61,63,5,34,10,10,10,15,10,10,21,7,6,5,6,12,6,11,25,12,14,10,7,5,12,71,77,65,78,81,75,66,88,35,45,22,10,21,10,39,7,8,7,14,13,82,90,91,64,Right,Bills,3,Florida,2433,"$4,690,000 ","$1,520,000 ",22852,TorrenceOCyrus_22852
Spencer Brown,RT,OT_Power,2,71,74,81,76,57,91,77,75,24,50,10,10,30,35,27,10,23,6,6,6,6,10,6,12,55,49,49,33,14,5,23,66,68,64,76,77,75,87,89,42,45,51,33,49,38,34,12,15,10,25,25,86,89,85,79,Right,Bills,3,Northern Iowa,728,"$3,960,000 ","$880,000 ",21649,BrownSpencer_21649
Tim Settle Jr,DT,DT_RunStopper,5,71,65,68,57,52,88,65,76,16,27,25,14,33,39,23,10,16,6,6,6,6,15,6,12,26,15,15,15,7,3,15,45,45,45,45,45,45,33,87,78,79,81,79,75,71,74,18,27,14,15,15,74,93,89,99,Right,Bills,3,Virginia Tech,9055,"$4,950,000 ","$2,690,000 ",13123,SettleTim_13123
Brandon Shell,RT,OT_Power,7,70,62,71,63,52,84,75,84,12,29,19,26,33,32,23,10,26,6,6,6,6,12,6,12,20,15,20,10,5,5,12,72,74,70,74,75,73,82,80,36,68,35,30,40,30,39,10,12,10,25,22,86,86,88,68,Right,Bills,3,South Carolina,8212,"$1,090,000 ",$0 ,17800,ShellBrandon_17800
Dean Marlowe,FS,S_RunSupport,8,70,83,84,82,80,70,82,72,30,64,61,60,48,55,62,35,30,6,6,6,6,11,6,16,62,45,62,15,10,10,15,35,35,35,35,35,35,15,60,72,75,81,73,45,54,70,62,68,64,17,12,90,92,76,31,Right,Bills,3,J. Madison,7542,"$840,000 ","$250,000 ",2764,MarloweDean_2764
Khalil Shakir,WR,WR_Playmaker,1,70,90,93,83,84,63,89,65,73,74,80,73,48,45,81,76,39,31,27,21,29,27,21,26,81,81,85,74,74,68,67,29,20,25,42,23,27,21,40,25,21,28,16,10,10,27,11,17,14,19,15,86,88,80,10,Right,Bills,3,Boise State,1942,"$3,650,000 ","$360,000 ",22074,ShakirKhalil_22074
A.J. Klein,ROLB,OLB_RunStopper,10,69,81,81,72,66,71,77,85,30,70,43,45,50,54,65,10,20,6,6,6,6,15,6,12,70,60,45,20,10,6,25,45,45,45,45,45,45,23,83,75,75,79,87,57,49,72,54,61,52,14,15,84,91,87,52,Right,Bills,3,Iowa State,5926,"$990,000 ","$100,000 ",11932,KleinAJ_11932
Christian Benford,CB,CB_Zone,1,69,88,92,80,80,63,84,68,52,61,70,63,40,37,57,45,30,6,6,6,6,10,6,15,72,60,66,32,27,24,38,35,35,35,35,35,35,17,52,58,53,73,72,35,41,45,67,70,75,18,12,88,90,84,47,Right,Bills,3,Villanova,2684,"$3,650,000 ","$200,000 ",22487,BenfordChristian_22487
David Quessenberry,RT,OT_Power,6,69,65,70,63,55,85,73,83,9,64,10,10,19,20,10,10,30,6,6,6,6,10,6,12,62,57,54,39,29,21,45,70,73,67,74,72,76,83,79,41,20,29,20,25,15,39,13,15,10,22,21,93,92,80,77,Right,Bills,3,San Jose St.,6030,"$600,000 ","$1,000,000 ",1732,QuessenberryDavid_1732
Dorian Williams,MLB,MLB_PassCoverage,0,68,84,89,79,75,63,84,61,52,55,65,60,55,48,58,42,20,15,12,10,6,11,12,15,65,55,60,15,10,10,25,30,30,30,35,35,35,24,63,85,74,83,58,46,54,59,62,71,67,18,16,86,90,76,42,Right,Bills,3,Tulane,2477,"$4,460,000 ","$920,000 ",23015,WilliamsDorian_23015
KeeSean Johnson,WR,WR_Playmaker,4,68,88,89,89,83,61,80,61,69,72,77,72,46,43,77,75,26,15,10,6,10,16,6,21,82,79,80,72,73,73,67,36,20,15,44,21,32,21,46,32,24,39,23,11,14,31,26,33,25,17,12,81,89,85,81,Right,Bills,3,Fresno State,9534,"$950,000 ",$0 ,20506,JohnsonKeeSean_20506
Terrel Bernard,LOLB,OLB_PassCoverage,1,68,86,91,83,79,67,85,70,33,49,61,51,44,39,48,30,21,22,17,15,15,12,11,18,63,45,51,15,5,5,15,45,45,45,45,45,45,19,69,75,77,86,71,49,57,59,54,65,40,17,13,86,86,88,43,Right,Bills,3,Baylor,1173,"$4,210,000 ","$920,000 ",22192,BernardTerrel_22192
Ike Boettger,LG,G_Power,5,67,56,62,63,51,83,73,86,5,37,10,10,10,25,10,10,15,12,9,7,6,10,6,12,43,35,31,26,18,15,33,70,72,68,69,68,71,81,76,34,30,33,31,10,10,25,11,12,10,11,11,83,79,88,65,Right,Bills,3,Iowa,9710,"$960,000 ","$50,000 ",13677,BoettgerIke_13677
Justin Shorter,WR,WR_DeepThreat,0,67,88,89,77,74,69,88,75,70,72,71,63,51,61,75,40,34,15,10,6,10,15,6,21,83,77,79,72,71,70,69,36,21,20,55,34,29,30,46,39,35,37,25,10,10,38,21,27,30,16,11,85,87,84,18,Right,Bills,3,Florida,2392,"$2,000,000 ",$0 ,22800,ShorterJustin_22800
Siran Neal,CB,CB_Slot,5,67,87,87,82,82,60,92,64,35,63,65,60,38,49,67,25,21,6,6,6,6,14,6,15,67,56,64,40,35,28,30,35,35,35,35,35,35,15,63,68,80,73,66,41,48,60,65,71,77,18,15,86,94,92,33,Right,Bills,3,Jacksonville State,9000,"$7,400,000 ","$1,590,000 ",13323,NealSiran_13323
Cam Lewis,FS,S_Hybrid,3,66,90,91,90,85,51,78,70,52,60,73,60,33,19,71,47,35,6,6,6,6,15,6,10,60,45,58,22,12,10,30,35,35,35,35,35,35,17,50,57,60,74,68,32,35,53,62,63,69,14,13,87,88,83,39,Right,Bills,3,Buffalo,1474,"$1,010,000 ","$180,000 ",21412,LewisCam_21412
Damar Hamlin,FS,S_Zone,2,66,86,92,86,77,62,84,69,49,63,68,63,45,42,66,51,25,6,6,6,6,18,6,14,67,62,65,37,33,31,38,35,35,35,35,35,35,32,61,62,72,77,68,33,38,50,59,66,61,20,20,86,87,78,3,Right,Bills,3,Pittsburgh,1254,"$3,490,000 ","$160,000 ",21663,HamlinDamar_21663
Isaiah Coulter,WR,WR_DeepThreat,3,66,91,92,86,82,44,86,63,69,75,77,72,42,34,73,55,22,15,10,6,10,18,6,21,81,76,78,68,68,66,69,29,15,13,44,30,23,30,43,25,18,31,13,10,10,24,10,15,10,16,12,78,86,79,82,Right,Bills,3,Rhode Island,224,"$1,860,000 ",$0 ,21322,CoulterIsaiah_21322
Travin Howard,ROLB,OLB_PassCoverage,5,65,86,89,80,74,67,85,67,24,60,47,36,31,26,35,10,15,6,6,6,6,14,6,12,63,51,47,15,5,5,25,45,45,45,45,45,45,28,75,79,78,78,65,51,54,62,57,65,56,14,12,82,85,80,45,Right,Bills,3,TCU,9805,"$1,010,000 ",$0 ,13193,HowardTravin_13193
Tyler Matakevich,LOLB,OLB_RunStopper,7,65,76,80,75,67,75,76,71,30,65,44,35,37,40,53,10,20,6,6,6,6,14,6,12,68,49,40,20,10,6,25,45,45,45,45,45,45,14,74,83,78,78,70,63,63,63,46,58,55,14,15,82,93,93,44,Right,Bills,3,Temple,8131,"$1,160,000 ","$670,000 ",17872,MatakevichTyler_17872
Tyrel Dodson,MLB,MLB_RunStopper,4,65,87,89,74,70,74,84,65,20,45,32,30,25,33,31,10,34,6,6,6,6,10,6,12,60,24,50,10,5,5,12,45,45,45,45,45,45,17,75,79,79,77,68,51,58,67,54,57,31,18,13,83,88,88,53,Right,Bills,3,Texas AM,9441,"$400,000 ","$1,610,000 ",20597,DodsonTyrel_20597
